,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
186,Kévin Gameiro\42276181,fr FRA,FW,Valencia,33,1987,12.0,14,1.17,10,0,0,2,2,0,2,0.17,2,0,0,0,0,0,Matches
187,Aleix García\a10361d2,es ESP,MF,Eibar,23,1997,4.9,12,2.47,7,5,0,0,0,0,1,0.21,0,1,0,0,0,0,Matches
188,Borja García\e7f4603c,es ESP,MFFW,Huesca,29,1990,12.4,39,3.14,33,0,2,2,2,0,0,0.00,0,0,0,0,0,0,Matches
189,Dani García\240d3a0b,es ESP,MF,Athletic Club,30,1990,21.3,18,0.84,15,1,0,0,0,2,1,0.05,1,0,0,0,0,0,Matches
190,David García\3e42f707,es ESP,DF,Osasuna,26,1994,35.0,8,0.23,7,0,0,0,0,1,1,0.03,0,0,0,0,0,1,Matches
191,Manu García\05a4465d,es ESP,MF,Alavés,34,1986,12.5,11,0.88,7,0,0,1,2,1,1,0.08,0,0,0,0,1,0,Matches
192,Raúl García\1a317a1b,es ESP,DFMF,Valladolid,31,1989,5.6,8,1.43,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
193,Raúl García\b418dbd4,es ESP,FWMF,Athletic Club,34,1986,19.4,33,1.70,26,0,1,0,5,1,2,0.10,2,0,0,0,0,0,Matches
194,Rubén García\5c96b017,es ESP,MFFW,Osasuna,27,1993,30.2,79,2.62,48,22,2,0,5,2,9,0.30,6,1,0,0,1,1,Matches
195,Sergi García\a039d52e,es ESP,MF,Alavés,21,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
196,Unai García\4a633cfe,es ESP,DF,Osasuna,28,1992,13.8,8,0.58,5,1,0,2,0,0,1,0.07,1,0,0,0,0,0,Matches
197,Mario Gaspar\fb5d47b3,es ESP,DF,Villarreal,29,1990,20.6,31,1.51,25,0,1,1,2,2,4,0.19,3,0,0,0,1,0,Matches
198,Paulo Gazzaniga\63d17038,ar ARG,GK,Elche,28,1992,8.0,4,0.50,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
199,David Gil\fea23125,es ESP,GK,Cádiz,26,1994,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
200,Álvaro Giménez\18017beb,es ESP,FWMF,Cádiz,29,1991,4.5,3,0.66,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
201,Dani Gómez\0e5ddc7c,es ESP,FW,Levante,22,1998,18.5,29,1.57,21,0,3,2,3,0,6,0.32,3,0,0,2,1,0,Matches
202,Ibai Gómez\9d2a3d5f,es ESP,MF,Athletic Club,30,1989,4.7,9,1.91,6,3,0,0,0,0,2,0.42,1,1,0,0,0,0,Matches
203,Maxi Gómez\4c2e9442,uy URU,FW,Valencia,23,1996,29.9,48,1.61,28,0,2,5,12,1,11,0.37,3,0,0,3,5,0,Matches
204,Moi Gómez\5a626448,es ESP,MFFW,Villarreal,26,1994,28.5,62,2.18,47,6,6,2,1,0,4,0.14,3,1,0,0,0,0,Matches
205,Papu Gómez\6e4df551,ar ARG,MFFW,Sevilla,32,1988,10.2,37,3.64,22,5,4,0,5,1,2,0.20,1,0,0,0,1,0,Matches
206,Sergi Gómez\bc6f5f06,es ESP,DF,Sevilla,28,1992,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
207,Sergio Gómez\01e5f06e,es ESP,MFFW,Huesca,19,2000,8.8,19,2.16,11,6,0,1,1,0,1,0.11,1,0,0,0,0,0,Matches
208,Maxime Gonalons\b8c1de25,fr FRA,MF,Granada,31,1989,16.4,21,1.28,16,0,1,1,2,1,2,0.12,2,0,0,0,0,0,Matches
209,Bruno González\f11fe861,es ESP,DF,Valladolid,30,1990,25.1,4,0.16,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
210,Diego González\4ac7608e,es ESP,DF,Elche,25,1995,14.2,4,0.28,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
211,Sergio González\5dd16ace,es ESP,MFDF,Cádiz,23,1997,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
212,Urko González\c4f5eb61,es ESP,MF,Real Sociedad,19,2001,0.5,1,1.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
213,Andoni Gorosabel\6f5f82c0,es ESP,DF,Real Sociedad,23,1996,26.5,52,1.96,41,7,0,1,3,0,6,0.23,6,0,0,0,0,0,Matches
214,Antoine Griezmann\df69b544,fr FRA,FWMF,Barcelona,29,1991,28.9,88,3.04,76,3,3,2,3,1,10,0.35,9,0,0,0,1,0,Matches
215,Andrés Guardado\ef322658,mx MEX,MF,Betis,33,1986,14.6,23,1.57,21,0,0,0,1,1,1,0.07,1,0,0,0,0,0,Matches
216,Sergi Guardiola\32974271,es ESP,FW,Valladolid,29,1991,19.9,27,1.35,18,0,3,1,3,2,5,0.25,3,0,1,0,1,0,Matches
217,Nemanja Gudelj\0076ab7f,rs SRB,MFDF,Sevilla,28,1991,11.6,7,0.61,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
218,Gonçalo Guedes\e6bc67d7,pt POR,MFFW,Valencia,23,1996,25.4,85,3.34,53,1,12,4,14,1,16,0.63,12,0,1,1,1,1,Matches
219,Ander Guevara\8e48dc61,es ESP,MF,Real Sociedad,23,1997,23.1,28,1.21,26,0,1,1,0,0,3,0.13,2,0,0,1,0,0,Matches
220,John Guidetti\99bebd12,se SWE,FWMF,Alavés,28,1992,2.3,5,2.16,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
221,Hugo Guillamón\f7c12fbf,es ESP,DF,Valencia,20,2000,22.1,5,0.23,3,0,0,1,0,1,1,0.05,1,0,0,0,0,0,Matches
222,Jon Guridi\4c0a6a48,es ESP,MF,Real Sociedad,25,1995,9.2,10,1.08,6,0,0,1,3,0,1,0.11,1,0,0,0,0,0,Matches
223,Raúl Guti\0b2c8585,es ESP,MF,Elche,23,1996,31.8,26,0.82,19,0,2,1,3,1,4,0.13,1,0,0,1,2,0,Matches
224,Marcos Mauro López Gutiérrez\b3b62f94,ar ARG,DF,Cádiz,29,1991,20.3,4,0.20,3,0,0,1,0,0,1,0.05,0,0,0,1,0,0,Matches
225,Miguel Gutiérrez\7e98cff1,es ESP,DF,Real Madrid,19,2001,3.5,7,1.99,4,1,0,0,2,0,1,0.28,1,0,0,0,0,0,Matches
226,Munir El Haddadi\8696bc90,ma MAR,FW,Sevilla,24,1995,9.4,25,2.66,15,3,3,1,3,0,3,0.32,3,0,0,0,0,0,Matches
227,Eden Hazard\a39bb753,be BEL,FWMF,Real Madrid,29,1991,5.9,19,3.21,12,1,4,0,2,0,3,0.51,2,0,1,0,0,0,Matches
228,Mario Hermoso\555f3a0b,es ESP,DF,Atlético Madrid,25,1995,28.6,25,0.87,24,1,0,0,0,0,3,0.10,3,0,0,0,0,0,Matches
229,Aridane Hernández\132ac341,gq EQG,DF,Osasuna,31,1989,22.5,8,0.36,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
230,Héctor Herrera\a8542814,mx MEX,MF,Atlético Madrid,30,1990,7.6,17,2.24,12,2,1,2,0,0,3,0.40,1,1,0,1,0,0,Matches
231,Sergio Herrera\a4995f48,es ESP,GK,Osasuna,27,1993,32.9,2,0.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
232,Yangel Herrera\e778654a,ve VEN,MF,Granada,22,1998,25.7,35,1.36,28,0,0,3,3,1,3,0.12,1,0,0,0,1,1,Matches
233,Pablo Hervías\ba5a9545,es ESP,DFMF,Valladolid,27,1993,13.4,47,3.51,32,12,1,1,0,1,8,0.60,5,1,1,1,0,0,Matches
234,Jordan Holsgrove\8a6daac3,sct SCO,MF,Celta Vigo,20,1999,1.6,2,1.24,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
235,Vicente Iborra\ad1ffcfd,es ESP,MF,Villarreal,32,1988,10.3,10,0.97,9,0,0,0,0,1,1,0.10,1,0,0,0,0,0,Matches
236,Oussama Idrissi\34caa4b3,ma MAR,FWMF,Sevilla,24,1996,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
237,Iglesias\974322dc,es ESP,DFMF,Getafe,22,1998,6.7,10,1.49,4,2,2,0,1,1,2,0.30,1,0,0,0,0,1,Matches
238,Borja Iglesias\75645f0e,es ESP,FW,Betis,27,1993,15.7,24,1.53,15,1,0,3,4,1,6,0.38,2,0,0,1,3,0,Matches
239,Asier Illarramendi\5ce0b5ba,es ESP,MF,Real Sociedad,30,1990,3.7,5,1.34,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
240,Pablo Insua\4b5e7e90,es ESP,DF,Huesca,26,1993,17.6,8,0.45,8,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
241,Takashi Inui\61bd33d0,jp JPN,MFFW,Eibar,32,1988,20.2,41,2.03,23,1,9,7,1,0,0,0.00,0,0,0,0,0,0,Matches
242,Alexander Isak\8e92be30,se SWE,FW,Real Sociedad,20,1999,26.0,48,1.85,24,1,8,5,9,1,6,0.23,3,0,0,1,2,0,Matches
243,Isco\a0b4bb3e,es ESP,MFFW,Real Madrid,28,1992,10.1,39,3.87,29,5,2,3,0,0,3,0.30,2,1,0,0,0,0,Matches
244,Jairo Izquierdo\2ceb58ab,es ESP,MFDF,Cádiz,26,1993,14.2,14,0.99,10,2,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
245,Saidy Janko\689c9cf4,gm GAM,DF,Valladolid,24,1995,13.6,15,1.11,15,0,0,0,0,0,2,0.15,2,0,0,0,0,0,Matches
246,Adnan Januzaj\4737cebe,be BEL,FWMF,Real Sociedad,25,1995,11.3,55,4.88,33,11,5,1,5,0,10,0.89,6,2,0,0,2,0,Matches
247,Jason\9038c2a1,es ESP,MFDF,Valencia,26,1994,4.9,10,2.04,9,0,1,0,0,0,1,0.20,1,0,0,0,0,0,Matches
248,Luis Javier Suárez\eeba07f8,co COL,FWMF,Granada,22,1997,18.5,42,2.27,22,0,7,4,6,3,8,0.43,3,0,1,2,1,1,Matches
249,Joaquín\4c5b14d2,es ESP,FWMF,Betis,39,1981,14.3,47,3.28,35,9,1,1,1,0,8,0.56,6,2,0,0,0,0,Matches
250,John Joe\fd01216a,ie IRL,MFDF,Getafe,16,2003,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
251,Frenkie de Jong\1bacc518,nl NED,MFDF,Barcelona,23,1997,35.0,86,2.45,75,2,2,2,5,0,7,0.20,6,0,0,1,0,0,Matches
252,Luuk de Jong\abb3bb95,nl NED,FW,Sevilla,29,1990,14.1,25,1.77,18,0,1,3,3,0,1,0.07,1,0,0,0,0,0,Matches
253,Jony\244f57b9,es ESP,MFFW,Osasuna,29,1991,9.7,42,4.34,30,4,5,0,2,1,3,0.31,3,0,0,0,0,0,Matches
254,Joan Jordán\2a0c8ba4,es ESP,MF,Sevilla,26,1994,26.7,73,2.73,58,11,2,1,0,1,8,0.30,7,1,0,0,0,0,Matches
255,Josan\5b28b2f6,es ESP,MFDF,Elche,30,1989,21.4,30,1.40,19,7,1,0,2,1,3,0.14,2,0,0,0,0,1,Matches
256,Willian José\d87e2cae,br BRA,FW,Real Sociedad,28,1991,7.7,12,1.57,8,0,0,3,1,0,1,0.13,0,0,0,1,0,0,Matches
257,Joselu\6265208f,es ESP,FW,Alavés,30,1990,33.6,58,1.73,37,0,5,6,7,3,7,0.21,3,0,1,0,1,2,Matches
258,Josema\ed3f5f4c,es ESP,DF,Elche,24,1996,21.8,14,0.64,9,4,0,1,0,0,1,0.05,0,1,0,0,0,0,Matches
259,Jota\9f351459,es ESP,MF,Alavés,29,1991,15.5,27,1.74,15,8,2,1,0,1,2,0.13,1,0,0,1,0,0,Matches
260,Jota\2b65fe46,pt POR,MFFW,Valladolid,21,1999,7.4,13,1.75,8,0,1,2,1,1,2,0.27,1,0,0,0,0,1,Matches
261,Luka Jović\4d8cd038,rs SRB,FWMF,Real Madrid,22,1997,1.7,4,2.42,2,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
262,Juanmi\84399660,es ESP,FWMF,Betis,27,1993,6.7,7,1.04,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
263,Vinicius Júnior\7111d552,br BRA,FW,Real Madrid,20,2000,21.9,70,3.20,51,0,9,4,5,1,9,0.41,4,0,1,2,2,0,Matches
264,Jens Jønsson\53520a67,dk DEN,MF,Cádiz,27,1993,29.1,27,0.93,23,0,0,2,2,0,3,0.10,3,0,0,0,0,0,Matches
265,Damian Kądzior\bb6c6331,pl POL,FWMF,Eibar,28,1992,2.2,1,0.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
266,Lee Kangin\8455ad90,kr KOR,FWMF,Valencia,19,2001,14.0,48,3.42,38,3,5,2,0,0,5,0.36,4,1,0,0,0,0,Matches
267,Stephane Keller\89d1e9fa,cm CMR,DF,Alavés,18,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
268,Kenedy\5eebbfdf,br BRA,FWMF,Granada,24,1996,16.3,35,2.14,15,6,7,2,3,2,5,0.31,2,1,1,0,0,1,Matches
269,Kike\e897d8ba,es ESP,FW,Eibar,30,1989,34.3,67,1.95,39,0,7,6,14,1,6,0.17,2,0,3,0,0,1,Matches
270,Giorgi Kochorashvili\3da1b6ed,ge GEO,MF,Levante,21,1999,0.3,1,3.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
271,Kenan Kodro\e82d2807,ba BIH,FWMF,Athletic Club,26,1993,0.5,2,4.09,0,0,0,1,1,0,2,4.09,0,0,0,1,1,0,Matches
272,Kenan Kodro\e82d2807,ba BIH,FWMF,Valladolid,26,1993,5.1,7,1.37,5,0,0,0,1,1,1,0.20,0,0,0,0,1,0,Matches
273,Koba Koindredi\3a58d075,fr FRA,MF,Valencia,18,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
274,Koke\55126f3b,es ESP,MF,Atlético Madrid,28,1992,33.6,72,2.14,57,11,1,1,0,2,6,0.18,6,0,0,0,0,0,Matches
275,Geoffrey Kondogbia\cce181df,cf CTA,MFFW,Atlético Madrid,27,1993,6.8,10,1.47,9,0,0,0,1,0,1,0.15,1,0,0,0,0,0,Matches
276,Geoffrey Kondogbia\cce181df,cf CTA,MF,Valencia,27,1993,4.9,5,1.02,4,0,0,0,1,0,1,0.20,1,0,0,0,0,0,Matches
277,Youssouf Koné\e6eadfb8,ml MLI,DFFW,Elche,25,1995,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
278,Jules Koundé\4d1666ff,fr FRA,DF,Sevilla,21,1998,33.1,28,0.85,26,0,1,1,0,0,3,0.09,3,0,0,0,0,0,Matches
279,Toni Kroos\6ce1f46f,de GER,MF,Real Madrid,30,1990,23.5,107,4.55,53,44,1,3,3,3,13,0.55,6,4,0,1,0,2,Matches
280,Takefusa Kubo\16aa3654,jp JPN,MFFW,Getafe,19,2001,8.9,21,2.35,14,3,2,2,0,0,3,0.34,2,0,0,1,0,0,Matches
281,Takefusa Kubo\16aa3654,jp JPN,MFFW,Villarreal,19,2001,3.3,14,4.21,11,0,2,1,0,0,1,0.30,1,0,0,0,0,0,Matches
282,Kuki\2b6dc4d7,es ESP,MF,Valladolid,22,1998,0.3,2,6.00,1,0,0,0,0,1,2,6.00,1,0,0,0,0,1,Matches
283,Víctor Laguardia\b7c99b9b,es ESP,DF,Alavés,30,1989,29.2,12,0.41,9,1,0,1,0,1,2,0.07,2,0,0,0,0,0,Matches
284,Diego Lainez\bf12926c,mx MEX,FW,Betis,20,2000,9.6,27,2.82,21,2,3,0,1,0,6,0.63,3,1,1,0,1,0,Matches
285,Toni Lato\8e088e04,es ESP,DF,Valencia,22,1997,8.1,9,1.11,6,2,1,0,0,0,1,0.12,0,0,1,0,0,0,Matches
286,Lauti\f934c5c9,uy URU,MFFW,Celta Vigo,19,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
287,Robin Le Normand\9a64e67e,fr FRA,DF,Real Sociedad,23,1996,30.5,12,0.39,7,1,0,2,2,0,4,0.13,1,0,0,2,1,0,Matches
288,Jeremías Ledesma\6c4776b1,ar ARG,GK,Cádiz,27,1993,32.0,6,0.19,4,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
289,Florian Lejeune\6eaed4eb,fr FRA,DF,Alavés,29,1991,33.5,17,0.51,12,2,0,2,0,1,3,0.09,1,0,0,2,0,0,Matches
290,Iñigo Lekue\59b7d823,es ESP,DF,Athletic Club,27,1993,7.2,14,1.96,10,2,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
291,Thomas Lemar\4dbd0916,fr FRA,MFFW,Atlético Madrid,24,1995,15.2,36,2.37,21,12,1,0,2,0,8,0.53,5,2,0,0,1,0,Matches
292,Clément Lenglet\4f28a6ff,fr FRA,DF,Barcelona,25,1995,27.5,26,0.95,25,0,0,0,0,1,5,0.18,5,0,0,0,0,0,Matches
293,Pedro León\d66b9872,es ESP,MFFW,Eibar,33,1986,10.4,26,2.50,11,9,3,2,1,0,2,0.19,1,1,0,0,0,0,Matches
294,Sergio León\0a0cc13c,es ESP,FW,Levante,31,1989,8.3,17,2.05,9,0,5,1,1,1,2,0.24,2,0,0,0,0,0,Matches
295,Diego Llorente\bba30585,es ESP,DF,Real Sociedad,26,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
296,Marcos Llorente\02c15616,es ESP,MFDF,Atlético Madrid,25,1995,32.8,75,2.28,57,1,4,3,7,3,15,0.46,11,0,0,0,2,2,Matches
297,Renan Lodi\ed9f7cfe,br BRA,DF,Atlético Madrid,22,1998,12.5,28,2.23,16,6,2,1,2,1,4,0.32,4,0,0,0,0,0,Matches
298,Pedro López Muñoz\a60823a4,es ESP,DF,Huesca,36,1983,11.9,16,1.35,15,1,0,0,0,0,2,0.17,1,1,0,0,0,0,Matches
299,Adrián López\88a359d4,es ESP,FWMF,Osasuna,32,1988,5.3,15,2.81,10,0,2,2,1,0,2,0.37,2,0,0,0,0,0,Matches
300,Javi López\e9ada8cf,es ESP,DFMF,Alavés,18,2002,2.8,3,1.09,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
301,Roberto López\2a8c9f98,es ESP,MFFW,Real Sociedad,20,2000,5.6,19,3.39,10,5,0,4,0,0,1,0.18,0,1,0,0,0,0,Matches
302,Unai López\88050721,es ESP,MF,Athletic Club,24,1995,15.8,42,2.65,30,8,1,1,1,1,2,0.13,2,0,0,0,0,0,Matches
303,Anthony Lozano\38699c72,hn HON,FWMF,Cádiz,27,1993,16.9,32,1.89,15,0,5,5,6,1,5,0.30,2,0,1,2,0,0,Matches
304,Jeison Lucumí\8abefbcf,co COL,FWMF,Elche,25,1995,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
305,José Luis Gayà\b05e2dbd,es ESP,DF,Valencia,25,1995,31.6,63,1.99,58,1,2,1,1,0,11,0.35,10,0,1,0,0,0,Matches
306,José Luis Morales\4a478107,es ESP,FWMF,Levante,33,1987,27.1,62,2.29,42,9,5,2,3,1,10,0.37,7,0,3,0,0,0,Matches
307,Luisinho\a7f00c8c,pt POR,DF,Huesca,35,1985,2.0,2,1.01,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
308,Luismi\c2cfbfc9,es ESP,MFDF,Elche,28,1992,1.9,1,0.54,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
309,Darwin Machís\ed6ea4d9,ve VEN,FWMF,Granada,27,1993,22.5,57,2.53,25,9,8,7,6,2,12,0.53,5,1,3,1,1,1,Matches
310,Pablo Maffeo\5db04597,es ESP,DF,Huesca,23,1997,21.8,45,2.06,32,2,7,1,1,2,7,0.32,6,0,0,0,0,1,Matches
311,Abdallahi Mahmoud\ab99e4a0,mr MTN,MF,Alavés,20,2000,0.7,1,1.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
312,Nemanja Maksimović\00b28772,rs SRB,MF,Getafe,25,1995,30.3,40,1.32,34,1,1,1,1,2,1,0.03,0,0,0,1,0,0,Matches
313,Filip Malbašić\04981123,rs SRB,FWMF,Cádiz,27,1992,9.6,8,0.84,6,0,1,0,0,1,3,0.31,2,0,1,0,0,0,Matches
314,Hugo Mallo\cb574619,es ESP,DF,Celta Vigo,29,1991,28.9,37,1.28,31,1,1,2,2,0,2,0.07,1,0,0,0,1,0,Matches
315,Mickael Malsa\bbc19252,mq MTQ,MF,Levante,24,1995,26.0,29,1.12,23,0,0,2,1,3,1,0.04,0,0,0,0,0,1,Matches
316,Aïssa Mandi\fbd6378b,dz ALG,DF,Betis,28,1991,26.6,8,0.30,7,0,0,1,0,0,1,0.04,0,0,0,1,0,0,Matches
317,Eliaquim Mangala\f520049f,fr FRA,DF,Valencia,29,1991,3.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
318,Maranhão\ae86d473,br BRA,FW,Valladolid,23,1996,13.1,18,1.38,12,0,2,1,3,0,4,0.31,3,0,0,0,1,0,Matches
319,Marcelo\603116a7,br BRA,DF,Real Madrid,32,1988,11.7,38,3.26,29,2,5,2,0,0,3,0.26,3,0,0,0,0,0,Matches
320,Iván Marcone\b14f755d,ar ARG,MF,Elche,30,1990,29.4,22,0.75,20,2,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
321,Óscar de Marcos\9f323c71,es ESP,DFMF,Athletic Club,31,1989,16.9,20,1.18,20,0,0,0,0,0,4,0.24,4,0,0,0,0,0,Matches
322,José Mari\6f4c734d,es ESP,MF,Cádiz,32,1987,16.1,13,0.81,10,0,1,0,1,1,1,0.06,1,0,0,0,0,0,Matches
323,José María Giménez\f0da930c,uy URU,DF,Atlético Madrid,25,1995,19.6,6,0.31,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
324,Mariano\5c4dc0ff,do DOM,FW,Real Madrid,26,1993,5.7,9,1.58,4,0,2,3,0,0,1,0.18,1,0,0,0,0,0,Matches
325,Adrián Marín\b7f2edff,es ESP,DFFW,Granada,23,1997,3.0,5,1.67,4,1,0,0,0,0,2,0.67,2,0,0,0,0,0,Matches
326,Adrián Marín\b7f2edff,es ESP,DFMF,Alavés,23,1997,1.0,2,1.94,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
327,Roger Martí\0ae4e09a,es ESP,FW,Levante,29,1991,24.4,33,1.35,26,0,2,3,1,1,7,0.29,7,0,0,0,0,0,Matches
328,Aarón Martín\2f3e911a,es ESP,DF,Celta Vigo,23,1997,17.1,13,0.76,10,0,0,1,1,1,3,0.18,3,0,0,0,0,0,Matches
329,Álex Martín\80153344,es ESP,DF,Cádiz,22,1998,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
330,Iñigo Martínez\3fc45c73,es ESP,DF,Athletic Club,29,1991,28.0,15,0.54,13,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
331,Javi Martínez\3672b352,es ESP,MFFW,Osasuna,20,1999,5.1,10,1.96,9,0,1,0,0,0,1,0.20,1,0,0,0,0,0,Matches
332,Marvin\efaefda0,es ESP,DFFW,Real Madrid,20,2000,1.5,2,1.35,1,1,0,0,0,0,1,0.68,1,0,0,0,0,0,Matches
333,Jordi Masip\8fae77ea,es ESP,GK,Valladolid,31,1989,25.0,3,0.12,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
334,Jaime Mata\02319ad7,es ESP,FW,Getafe,31,1988,22.6,42,1.86,33,0,2,4,3,0,3,0.13,1,0,1,1,0,0,Matches
335,Borja Mayoral\64e8ed6d,es ESP,FW,Real Madrid,23,1997,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
336,Gonzalo Melero\3902e91b,es ESP,MFFW,Levante,26,1994,20.6,42,2.04,36,1,0,2,2,1,4,0.19,3,0,0,1,0,0,Matches
337,Brais Méndez\c9e39d91,es ESP,MFFW,Celta Vigo,23,1997,29.7,57,1.92,42,2,2,4,5,2,15,0.51,8,0,1,3,2,1,Matches
338,Édgar Méndez\aed746df,es ESP,MFFW,Alavés,30,1990,23.2,36,1.55,25,0,3,1,5,2,2,0.09,1,0,0,0,1,0,Matches
339,Eñaut Mendía\aa7da569,es ESP,FW,Eibar,21,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
340,Ferland Mendy\3cefcaef,fr FRA,DF,Real Madrid,25,1995,24.5,46,1.87,43,0,1,0,2,0,1,0.04,1,0,0,0,0,0,Matches
341,Mikel Merino\d080ed5e,es ESP,MF,Real Sociedad,24,1996,23.9,52,2.17,38,1,1,5,3,4,8,0.33,6,0,0,1,0,1,Matches
342,Martín Merquelanz\ddd5348b,es ESP,FWMF,Real Sociedad,25,1995,6.1,20,3.28,12,6,0,1,0,1,1,0.16,0,1,0,0,0,0,Matches
343,Roque Mesa\7c4243d4,es ESP,MF,Valladolid,31,1989,19.6,42,2.15,32,4,4,0,2,0,0,0.00,0,0,0,0,0,0,Matches
344,Lionel Messi\d70ce98e,ar ARG,FWMF,Barcelona,33,1987,33.6,241,7.17,140,19,39,11,30,2,38,1.13,24,1,8,3,2,0,Matches
345,Omenuke Mfulu\bdc14559,cd COD,MF,Elche,26,1994,8.8,2,0.23,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
346,Míchel\418f8f61,es ESP,MF,Valladolid,32,1988,10.5,31,2.95,22,6,0,1,0,2,0,0.00,0,0,0,0,0,0,Matches
347,Éder Militão\2784f898,br BRA,DF,Real Madrid,22,1998,12.6,7,0.56,7,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
348,Luis Milla\19c36442,es ESP,MF,Granada,25,1994,13.9,31,2.23,21,7,1,1,0,1,4,0.29,3,0,0,0,0,1,Matches
349,Pere Milla\335039a2,es ESP,FWMF,Elche,27,1992,22.0,39,1.77,20,0,2,7,8,2,8,0.36,5,0,1,1,1,0,Matches
350,Álex Millán\29ad0dd4,es ESP,FW,Villarreal,20,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
