,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
525,Suso\4e219ad2,es ESP,FW,Sevilla,26,1993,24.6,100,4.07,77,5,11,2,3,2,12,0.49,10,1,0,1,0,0,Matches
526,Tachi\8b625720,es ESP,DF,Alavés,22,1997,9.4,5,0.53,1,1,0,0,2,1,1,0.11,0,0,0,0,1,0,Matches
527,Renato Tapia\34269bdf,pe PER,MF,Celta Vigo,25,1995,30.0,26,0.87,22,0,0,1,2,1,3,0.10,3,0,0,0,0,0,Matches
528,Tomás Tavares\0dce3356,pt POR,MFDF,Alavés,19,2001,0.7,2,2.77,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
529,Álvaro Tejero\868ce848,es ESP,DF,Eibar,24,1996,1.2,4,3.27,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
530,Cristian Tello\72a99e38,es ESP,FWMF,Betis,28,1991,14.3,38,2.67,27,2,3,4,1,1,5,0.35,4,1,0,0,0,0,Matches
531,Marc-André ter Stegen\6f51e382,de GER,GK,Barcelona,28,1992,31.0,5,0.16,3,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
532,David Timor\174651c8,es ESP,MFDF,Getafe,30,1989,15.5,19,1.23,9,9,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
533,Toño\d4ef9ac5,es ESP,DF,Levante,30,1989,8.1,11,1.36,11,0,0,0,0,0,2,0.25,2,0,0,0,0,0,Matches
534,Lucas Torreira\52611641,uy URU,MFFW,Atlético Madrid,24,1996,5.8,12,2.08,8,1,0,0,2,1,1,0.17,1,0,0,0,0,0,Matches
535,Óliver Torres\58a9a4d9,es ESP,MFFW,Sevilla,25,1994,15.6,52,3.34,39,6,5,0,0,2,6,0.39,4,0,2,0,0,0,Matches
536,Pau Torres\532e1e4f,es ESP,DF,Villarreal,23,1997,33.0,15,0.45,14,0,0,1,0,0,3,0.09,2,0,0,1,0,0,Matches
537,Roberto Torres\d733aa38,es ESP,MFFW,Osasuna,31,1989,21.0,47,2.23,25,12,3,6,1,0,3,0.14,2,0,0,0,1,0,Matches
538,Lucas Torró\0e4fef6e,es ESP,MF,Osasuna,26,1994,17.2,24,1.40,15,0,2,3,2,2,4,0.23,3,0,0,1,0,0,Matches
539,Manu Trigueros\963829d0,es ESP,MF,Villarreal,28,1991,28.1,67,2.39,64,0,0,0,2,1,11,0.39,10,0,0,0,1,0,Matches
540,Francisco Trincão\77e39b04,pt POR,FWMF,Barcelona,20,1999,7.8,21,2.68,15,0,3,1,2,0,3,0.38,3,0,0,0,0,0,Matches
541,Kieran Trippier\21512407,eng ENG,DF,Atlético Madrid,29,1990,27.5,75,2.73,53,19,0,0,2,1,10,0.36,9,0,0,0,1,0,Matches
542,Samuel Umtiti\3eed9821,fr FRA,DF,Barcelona,26,1993,7.2,6,0.84,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
543,Enes Ünal\f8eca1b6,tr TUR,FW,Getafe,23,1997,14.6,26,1.78,19,0,1,3,3,0,3,0.20,2,0,0,0,1,0,Matches
544,Tomáš Vaclík\7b456af7,cz CZE,GK,Sevilla,31,1989,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
545,Eugeni Valderrama\a75b4071,es ESP,FWMF,Huesca,26,1994,1.3,4,3.13,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
546,Jesús Vallejo\c2111b45,es ESP,DF,Granada,23,1997,15.0,5,0.33,4,1,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
547,Manu Vallejo\0bc4e720,es ESP,FWMF,Valencia,23,1997,10.6,18,1.71,12,0,3,0,3,0,1,0.09,1,0,0,0,0,0,Matches
548,Federico Valverde\0959c2a2,uy URU,MF,Real Madrid,22,1998,14.8,49,3.32,39,0,1,5,1,3,4,0.27,4,0,0,0,0,0,Matches
549,Raphaël Varane\9f8e9423,fr FRA,DF,Real Madrid,27,1993,30.2,16,0.53,15,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
550,Denis Vavro\08990838,sk SVK,DF,Huesca,24,1996,6.8,7,1.03,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
551,Franco Vázquez\467bae22,ar ARG,FWMF,Sevilla,31,1989,1.8,5,2.74,5,0,0,0,0,0,1,0.55,1,0,0,0,0,0,Matches
552,Kevin Vázquez\ee923664,es ESP,DF,Celta Vigo,27,1993,6.2,5,0.80,5,0,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches
553,Lucas Vázquez\fd51b456,es ESP,DFFW,Real Madrid,29,1991,20.5,73,3.56,65,0,3,0,4,1,10,0.49,9,0,0,0,1,0,Matches
554,Koke Vegas\bfb15d99,es ESP,GK,Levante,24,1995,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
555,Gabriel Veiga\35a6e5c7,es ESP,MFDF,Celta Vigo,18,2002,1.3,3,2.29,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
556,Unai Vencedor Paris\4112ace5,es ESP,MF,Athletic Club,19,2000,18.9,23,1.22,18,2,1,1,1,0,1,0.05,0,1,0,0,0,0,Matches
557,Gonzalo Verdú\1c2c55fc,es ESP,DF,Elche,31,1988,32.7,13,0.40,10,1,0,2,0,0,2,0.06,2,0,0,0,0,0,Matches
558,Mikel Vesga\b0fce72c,es ESP,MF,Athletic Club,27,1993,19.1,35,1.83,29,2,1,2,0,1,3,0.16,2,0,0,1,0,0,Matches
559,Rúben Vezo\c67cd65c,pt POR,DF,Levante,26,1994,25.7,13,0.51,12,0,0,0,1,0,1,0.04,1,0,0,0,0,0,Matches
560,Iñigo Vicente\afafac57,es ESP,FWMF,Athletic Club,22,1998,0.6,8,13.85,6,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
561,Fede Vico\f681a8ef,es ESP,MFFW,Granada,26,1994,8.5,16,1.88,11,1,3,1,0,0,0,0.00,0,0,0,0,0,0,Matches
562,Aleix Vidal\04965583,es ESP,DF,Sevilla,30,1989,6.6,13,1.97,12,1,0,0,0,0,3,0.45,2,1,0,0,0,0,Matches
563,Nacho Vidal\3a9c4b7b,es ESP,DF,Osasuna,25,1995,26.1,30,1.15,20,3,0,1,5,1,2,0.08,0,1,0,1,0,0,Matches
564,Toni Villa\636eae97,es ESP,MFFW,Valladolid,25,1995,10.8,40,3.72,25,0,6,0,9,0,3,0.28,1,0,1,0,1,0,Matches
565,Asier Villalibre\57be54ec,es ESP,FW,Athletic Club,22,1997,17.7,33,1.87,25,0,0,4,4,0,3,0.17,2,0,0,1,0,0,Matches
566,Iván Villar\cde52ef5,es ESP,GK,Celta Vigo,23,1997,19.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
567,Vitolo\db750822,es ESP,MFFW,Atlético Madrid,30,1989,3.3,7,2.11,6,0,0,0,1,0,2,0.60,1,0,0,0,1,0,Matches
568,Šime Vrsaljko\46a8347f,hr CRO,DF,Atlético Madrid,28,1992,5.8,3,0.52,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
569,Nikola Vukčević\4442fbcd,me MNE,MF,Levante,28,1991,9.0,5,0.56,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
570,Daniel Wass\d83bbc54,dk DEN,MFDF,Valencia,31,1989,33.1,66,1.99,56,5,1,0,3,1,2,0.06,2,0,0,0,0,0,Matches
571,Shon Weissman\379dc075,il ISR,FW,Valladolid,24,1996,23.7,32,1.35,24,0,1,4,2,1,3,0.13,1,0,0,1,1,0,Matches
572,Iñaki Williams\6a99e0b1,es ESP,FW,Athletic Club,26,1994,26.5,62,2.34,43,1,11,2,5,0,10,0.38,9,0,1,0,0,0,Matches
573,Nico Williams\afdc14d7,es ESP,MF,Athletic Club,18,2002,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
574,Jawad El Yamiq\f6f6b6e8,ma MAR,DF,Valladolid,28,1992,15.3,10,0.65,7,0,2,0,0,1,0,0.00,0,0,0,0,0,0,Matches
575,Rubén Yáñez\039ae103,es ESP,GK,Getafe,26,1993,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
576,Yoel\61bb7498,es ESP,GK,Eibar,31,1988,3.3,1,0.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
577,Okay Yokuşlu\e49ce451,tr TUR,MF,Celta Vigo,26,1994,5.1,7,1.36,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
578,Joseba Zaldúa\5ca20b7a,es ESP,DF,Real Sociedad,28,1992,7.1,10,1.41,9,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
579,Oier Zarraga\968a1c2f,es ESP,MF,Athletic Club,21,1999,1.1,3,2.70,3,0,0,0,0,0,1,0.90,1,0,0,0,0,0,Matches
580,Igor Zubeldia\5c7845f6,es ESP,DF,Real Sociedad,23,1997,21.8,10,0.46,10,0,0,0,0,0,2,0.09,2,0,0,0,0,0,Matches
581,Martín Zubimendi\3ee0dd59,es ESP,MF,Real Sociedad,21,1999,20.9,25,1.20,19,0,1,1,4,0,3,0.14,3,0,0,0,0,0,Matches
582,Martin Ødegaard\79300479,no NOR,MFFW,Real Madrid,21,1998,2.6,6,2.31,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
