,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
219,Ander Guevara\8e48dc61,es ESP,MF,Real Sociedad,23,1997,31,25,2081,23.1,1,1,1,0,0,5,0,0.04,0.04,0.09,0.04,0.09,0.5,0.5,0.8,1.3,0.02,0.03,0.06,0.02,0.06,Matches
220,John Guidetti\99bebd12,se SWE,FWMF,Alavés,28,1992,10,1,208,2.3,1,0,1,0,0,1,0,0.43,0.00,0.43,0.43,0.43,1.1,1.1,0.0,1.1,0.48,0.01,0.49,0.48,0.49,Matches
221,Hugo Guillamón\f7c12fbf,es ESP,DF,Valencia,20,2000,25,21,1988,22.1,1,0,1,0,0,8,0,0.05,0.00,0.05,0.05,0.05,0.5,0.5,0.0,0.5,0.02,0.00,0.02,0.02,0.02,Matches
222,Jon Guridi\4c0a6a48,es ESP,MF,Real Sociedad,25,1995,17,8,831,9.2,0,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.8,0.8,0.7,1.5,0.08,0.08,0.16,0.08,0.16,Matches
223,Raúl Guti\0b2c8585,es ESP,MF,Elche,23,1996,36,33,2862,31.8,3,1,3,0,0,4,1,0.09,0.03,0.13,0.09,0.13,1.5,1.5,0.6,2.1,0.05,0.02,0.07,0.05,0.07,Matches
224,Marcos Mauro López Gutiérrez\b3b62f94,ar ARG,DF,Cádiz,29,1991,24,22,1825,20.3,2,0,2,0,0,2,1,0.10,0.00,0.10,0.10,0.10,1.5,1.5,0.1,1.5,0.07,0.00,0.08,0.07,0.08,Matches
225,Miguel Gutiérrez\7e98cff1,es ESP,DF,Real Madrid,19,2001,6,3,316,3.5,0,1,0,0,0,0,0,0.00,0.28,0.28,0.00,0.28,0.0,0.0,0.2,0.2,0.00,0.06,0.06,0.00,0.06,Matches
226,Munir El Haddadi\8696bc90,ma MAR,FW,Sevilla,24,1995,24,9,845,9.4,4,2,4,0,0,2,0,0.43,0.21,0.64,0.43,0.64,3.5,3.5,1.6,5.1,0.37,0.17,0.55,0.37,0.55,Matches
227,Eden Hazard\a39bb753,be BEL,FWMF,Real Madrid,29,1991,14,7,532,5.9,3,2,3,0,0,0,0,0.51,0.34,0.85,0.51,0.85,1.6,1.6,0.8,2.4,0.27,0.14,0.40,0.27,0.40,Matches
228,Mario Hermoso\555f3a0b,es ESP,DF,Atlético Madrid,25,1995,31,30,2578,28.6,1,1,1,0,0,6,0,0.03,0.03,0.07,0.03,0.07,1.2,1.2,0.4,1.6,0.04,0.02,0.06,0.04,0.06,Matches
229,Aridane Hernández\132ac341,gq EQG,DF,Osasuna,31,1989,24,24,2026,22.5,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.00,0.02,0.03,0.00,0.03,Matches
230,Héctor Herrera\a8542814,mx MEX,MF,Atlético Madrid,30,1990,16,8,682,7.6,0,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,0.2,0.2,0.3,0.6,0.03,0.04,0.08,0.03,0.08,Matches
231,Sergio Herrera\a4995f48,es ESP,GK,Osasuna,27,1993,33,32,2958,32.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
232,Yangel Herrera\e778654a,ve VEN,MF,Granada,22,1998,32,25,2310,25.7,3,1,3,0,0,7,0,0.12,0.04,0.16,0.12,0.16,1.9,1.9,1.1,3.0,0.07,0.04,0.12,0.07,0.12,Matches
233,Pablo Hervías\ba5a9545,es ESP,DFMF,Valladolid,27,1993,27,10,1204,13.4,0,5,0,0,0,1,0,0.00,0.37,0.37,0.00,0.37,0.5,0.5,3.4,3.8,0.04,0.25,0.29,0.04,0.29,Matches
234,Jordan Holsgrove\8a6daac3,sct SCO,MF,Celta Vigo,20,1999,5,0,145,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.02,0.07,0.05,0.07,Matches
235,Vicente Iborra\ad1ffcfd,es ESP,MF,Villarreal,32,1988,13,10,928,10.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.3,0.02,0.02,0.03,0.02,0.03,Matches
236,Oussama Idrissi\34caa4b3,ma MAR,FWMF,Sevilla,24,1996,3,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.96,0.00,0.96,0.96,0.96,Matches
237,Iglesias\974322dc,es ESP,DFMF,Getafe,22,1998,10,7,605,6.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.02,0.05,0.06,0.02,0.06,Matches
238,Borja Iglesias\75645f0e,es ESP,FW,Betis,27,1993,28,15,1411,15.7,11,0,6,5,5,2,0,0.70,0.00,0.70,0.38,0.38,7.7,3.9,0.5,4.4,0.49,0.03,0.52,0.25,0.28,Matches
239,Asier Illarramendi\5ce0b5ba,es ESP,MF,Real Sociedad,30,1990,6,6,337,3.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
240,Pablo Insua\4b5e7e90,es ESP,DF,Huesca,26,1993,20,17,1587,17.6,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.00,0.01,0.01,0.01,Matches
241,Takashi Inui\61bd33d0,jp JPN,MFFW,Eibar,32,1988,28,22,1819,20.2,1,0,1,0,0,0,0,0.05,0.00,0.05,0.05,0.05,2.4,2.4,1.9,4.3,0.12,0.09,0.21,0.12,0.21,Matches
242,Alexander Isak\8e92be30,se SWE,FW,Real Sociedad,20,1999,34,30,2340,26.0,17,2,17,0,1,4,0,0.65,0.08,0.73,0.65,0.73,15.5,14.7,2.3,17.0,0.60,0.09,0.68,0.57,0.66,Matches
243,Isco\a0b4bb3e,es ESP,MFFW,Real Madrid,28,1992,25,8,908,10.1,0,2,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,1.8,1.8,1.7,3.5,0.18,0.17,0.35,0.18,0.35,Matches
244,Jairo Izquierdo\2ceb58ab,es ESP,MFDF,Cádiz,26,1993,30,11,1277,14.2,1,0,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,0.8,0.8,0.9,1.8,0.06,0.07,0.12,0.06,0.12,Matches
245,Saidy Janko\689c9cf4,gm GAM,DF,Valladolid,24,1995,19,14,1220,13.6,0,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.4,0.4,0.4,0.8,0.03,0.03,0.06,0.03,0.06,Matches
246,Adnan Januzaj\4737cebe,be BEL,FWMF,Real Sociedad,25,1995,27,12,1014,11.3,4,5,1,3,3,2,0,0.36,0.44,0.80,0.09,0.53,5.1,2.8,4.4,7.2,0.45,0.39,0.85,0.25,0.64,Matches
247,Jason\9038c2a1,es ESP,MFDF,Valencia,26,1994,17,4,441,4.9,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.8,0.03,0.12,0.16,0.03,0.16,Matches
248,Luis Javier Suárez\eeba07f8,co COL,FWMF,Granada,22,1997,27,18,1666,18.5,5,1,5,0,0,6,0,0.27,0.05,0.32,0.27,0.32,6.7,6.7,1.4,8.0,0.36,0.07,0.43,0.36,0.43,Matches
249,Joaquín\4c5b14d2,es ESP,FWMF,Betis,39,1981,27,16,1291,14.3,2,6,2,0,0,2,0,0.14,0.42,0.56,0.14,0.56,1.0,1.0,2.5,3.5,0.07,0.18,0.24,0.07,0.24,Matches
250,John Joe\fd01216a,ie IRL,MFDF,Getafe,16,2003,6,0,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.18,0.00,0.18,0.18,0.18,Matches
251,Frenkie de Jong\1bacc518,nl NED,MFDF,Barcelona,23,1997,37,35,3154,35.0,3,4,3,0,0,5,0,0.09,0.11,0.20,0.09,0.20,5.5,5.5,5.5,11.0,0.16,0.16,0.31,0.16,0.31,Matches
252,Luuk de Jong\abb3bb95,nl NED,FW,Sevilla,29,1990,34,14,1268,14.1,4,0,4,0,0,3,0,0.28,0.00,0.28,0.28,0.28,3.8,3.8,1.1,4.9,0.27,0.08,0.35,0.27,0.35,Matches
253,Jony\244f57b9,es ESP,MFFW,Osasuna,29,1991,22,9,871,9.7,0,2,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,0.7,0.7,2.3,3.0,0.07,0.24,0.31,0.07,0.31,Matches
254,Joan Jordán\2a0c8ba4,es ESP,MF,Sevilla,26,1994,35,28,2406,26.7,1,6,1,0,0,8,1,0.04,0.22,0.26,0.04,0.26,1.5,1.5,2.8,4.3,0.05,0.11,0.16,0.05,0.16,Matches
255,Josan\5b28b2f6,es ESP,MFDF,Elche,30,1989,33,24,1926,21.4,4,2,4,0,0,3,0,0.19,0.09,0.28,0.19,0.28,1.7,1.7,1.6,3.3,0.08,0.07,0.15,0.08,0.15,Matches
256,Willian José\d87e2cae,br BRA,FW,Real Sociedad,28,1991,13,8,689,7.7,3,1,3,0,1,0,0,0.39,0.13,0.52,0.39,0.52,4.3,3.5,0.9,4.4,0.56,0.11,0.67,0.46,0.58,Matches
257,Joselu\6265208f,es ESP,FW,Alavés,30,1990,37,34,3026,33.6,11,3,9,2,4,1,0,0.33,0.09,0.42,0.27,0.36,13.7,10.6,3.0,13.6,0.41,0.09,0.50,0.32,0.41,Matches
258,Josema\ed3f5f4c,es ESP,DF,Elche,24,1996,29,21,1966,21.8,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.3,0.3,0.6,0.8,0.01,0.03,0.04,0.01,0.04,Matches
259,Jota\9f351459,es ESP,MF,Alavés,29,1991,23,18,1398,15.5,0,2,0,0,0,5,1,0.00,0.13,0.13,0.00,0.13,0.9,0.9,1.9,2.8,0.06,0.12,0.18,0.06,0.18,Matches
260,Jota\2b65fe46,pt POR,MFFW,Valladolid,21,1999,17,7,668,7.4,1,0,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,1.1,1.1,0.2,1.2,0.14,0.02,0.17,0.14,0.17,Matches
261,Luka Jović\4d8cd038,rs SRB,FWMF,Real Madrid,22,1997,4,2,149,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.1,1.2,0.67,0.08,0.75,0.67,0.75,Matches
262,Juanmi\84399660,es ESP,FWMF,Betis,27,1993,16,5,604,6.7,2,0,2,0,0,1,0,0.30,0.00,0.30,0.30,0.30,3.0,3.0,0.1,3.1,0.45,0.01,0.46,0.45,0.46,Matches
263,Vinicius Júnior\7111d552,br BRA,FW,Real Madrid,20,2000,35,22,1969,21.9,3,3,3,0,0,3,0,0.14,0.14,0.27,0.14,0.27,6.5,6.5,3.1,9.6,0.30,0.14,0.44,0.30,0.44,Matches
264,Jens Jønsson\53520a67,dk DEN,MF,Cádiz,27,1993,35,33,2615,29.1,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,1.7,2.5,0.03,0.06,0.09,0.03,0.09,Matches
265,Damian Kądzior\bb6c6331,pl POL,FWMF,Eibar,28,1992,6,2,195,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.01,0.06,0.05,0.06,Matches
266,Lee Kangin\8455ad90,kr KOR,FWMF,Valencia,19,2001,24,15,1262,14.0,0,4,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,1.2,1.2,2.5,3.8,0.09,0.18,0.27,0.09,0.27,Matches
267,Stephane Keller\89d1e9fa,cm CMR,DF,Alavés,18,2001,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
268,Kenedy\5eebbfdf,br BRA,FWMF,Granada,24,1996,28,18,1471,16.3,4,3,4,0,0,3,0,0.24,0.18,0.43,0.24,0.43,2.1,2.1,2.6,4.7,0.13,0.16,0.29,0.13,0.29,Matches
269,Kike\e897d8ba,es ESP,FW,Eibar,30,1989,37,36,3087,34.3,12,2,12,0,0,4,1,0.35,0.06,0.41,0.35,0.41,10.4,10.4,2.1,12.5,0.30,0.06,0.37,0.30,0.37,Matches
270,Giorgi Kochorashvili\3da1b6ed,ge GEO,MF,Levante,21,1999,3,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.15,0.18,0.03,0.18,Matches
271,Kenan Kodro\e82d2807,ba BIH,FWMF,Athletic Club,26,1993,3,0,44,0.5,1,0,0,1,1,1,0,2.05,0.00,2.05,0.00,0.00,0.8,0.0,0.0,0.0,1.60,0.00,1.60,0.04,0.04,Matches
272,Kenan Kodro\e82d2807,ba BIH,FWMF,Valladolid,26,1993,14,4,459,5.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.1,1.2,0.21,0.03,0.24,0.21,0.24,Matches
273,Koba Koindredi\3a58d075,fr FRA,MF,Valencia,18,2001,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
274,Koke\55126f3b,es ESP,MF,Atlético Madrid,28,1992,37,34,3021,33.6,1,2,1,0,0,9,0,0.03,0.06,0.09,0.03,0.09,1.9,1.9,2.6,4.5,0.06,0.08,0.13,0.06,0.13,Matches
275,Geoffrey Kondogbia\cce181df,cf CTA,MFFW,Atlético Madrid,27,1993,25,4,611,6.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.4,0.02,0.04,0.07,0.02,0.07,Matches
276,Geoffrey Kondogbia\cce181df,cf CTA,MF,Valencia,27,1993,5,5,440,4.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
277,Youssouf Koné\e6eadfb8,ml MLI,DFFW,Elche,25,1995,3,1,73,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
278,Jules Koundé\4d1666ff,fr FRA,DF,Sevilla,21,1998,34,33,2975,33.1,2,1,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,2.1,2.1,0.7,2.8,0.06,0.02,0.08,0.06,0.08,Matches
279,Toni Kroos\6ce1f46f,de GER,MF,Real Madrid,30,1990,28,24,2117,23.5,3,10,3,0,0,6,0,0.13,0.43,0.55,0.13,0.55,2.2,2.2,6.7,8.9,0.09,0.28,0.38,0.09,0.38,Matches
280,Takefusa Kubo\16aa3654,jp JPN,MFFW,Getafe,19,2001,18,8,805,8.9,1,1,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,0.9,0.9,0.8,1.7,0.10,0.09,0.19,0.10,0.19,Matches
281,Takefusa Kubo\16aa3654,jp JPN,MFFW,Villarreal,19,2001,13,2,299,3.3,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.5,1.9,0.41,0.16,0.57,0.41,0.57,Matches
282,Kuki\2b6dc4d7,es ESP,MF,Valladolid,22,1998,2,0,30,0.3,0,1,0,0,0,0,0,0.00,3.00,3.00,0.00,3.00,0.0,0.0,0.1,0.1,0.00,0.16,0.16,0.00,0.16,Matches
283,Víctor Laguardia\b7c99b9b,es ESP,DF,Alavés,30,1989,32,30,2631,29.2,0,1,0,0,0,5,1,0.00,0.03,0.03,0.00,0.03,1.1,1.1,1.0,2.1,0.04,0.03,0.07,0.04,0.07,Matches
284,Diego Lainez\bf12926c,mx MEX,FW,Betis,20,2000,21,8,862,9.6,0,2,0,0,0,5,0,0.00,0.21,0.21,0.00,0.21,0.9,0.9,0.9,1.8,0.10,0.09,0.19,0.10,0.19,Matches
285,Toni Lato\8e088e04,es ESP,DF,Valencia,22,1997,15,8,728,8.1,1,0,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,1.0,1.0,0.3,1.3,0.12,0.04,0.16,0.12,0.16,Matches
286,Lauti\f934c5c9,uy URU,MFFW,Celta Vigo,19,2001,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
287,Robin Le Normand\9a64e67e,fr FRA,DF,Real Sociedad,23,1996,33,30,2747,30.5,0,1,0,0,0,5,1,0.00,0.03,0.03,0.00,0.03,2.0,2.0,0.1,2.1,0.07,0.00,0.07,0.07,0.07,Matches
288,Jeremías Ledesma\6c4776b1,ar ARG,GK,Cádiz,27,1993,32,32,2880,32.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
289,Florian Lejeune\6eaed4eb,fr FRA,DF,Alavés,29,1991,34,34,3015,33.5,1,1,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,2.2,2.2,0.3,2.5,0.06,0.01,0.07,0.06,0.07,Matches
290,Iñigo Lekue\59b7d823,es ESP,DF,Athletic Club,27,1993,18,5,644,7.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.01,0.06,0.07,0.01,0.07,Matches
291,Thomas Lemar\4dbd0916,fr FRA,MFFW,Atlético Madrid,24,1995,27,19,1366,15.2,1,3,1,0,0,4,0,0.07,0.20,0.26,0.07,0.26,1.3,1.3,2.0,3.3,0.09,0.13,0.22,0.09,0.22,Matches
292,Clément Lenglet\4f28a6ff,fr FRA,DF,Barcelona,25,1995,33,29,2475,27.5,1,0,1,0,0,11,2,0.04,0.00,0.04,0.04,0.04,1.4,1.4,0.9,2.3,0.05,0.03,0.08,0.05,0.08,Matches
293,Pedro León\d66b9872,es ESP,MFFW,Eibar,33,1986,24,10,935,10.4,1,2,1,0,0,2,0,0.10,0.19,0.29,0.10,0.29,1.3,1.3,2.3,3.5,0.12,0.22,0.34,0.12,0.34,Matches
294,Sergio León\0a0cc13c,es ESP,FW,Levante,31,1989,28,6,748,8.3,2,0,2,0,0,0,0,0.24,0.00,0.24,0.24,0.24,2.3,2.3,0.3,2.7,0.28,0.04,0.32,0.28,0.32,Matches
295,Diego Llorente\bba30585,es ESP,DF,Real Sociedad,26,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
296,Marcos Llorente\02c15616,es ESP,MFDF,Atlético Madrid,25,1995,37,33,2956,32.8,12,11,12,0,0,6,0,0.37,0.33,0.70,0.37,0.70,4.3,4.3,5.2,9.5,0.13,0.16,0.29,0.13,0.29,Matches
297,Renan Lodi\ed9f7cfe,br BRA,DF,Atlético Madrid,22,1998,23,11,1129,12.5,1,2,1,0,0,3,0,0.08,0.16,0.24,0.08,0.24,0.7,0.7,1.1,1.9,0.06,0.09,0.15,0.06,0.15,Matches
298,Pedro López Muñoz\a60823a4,es ESP,DF,Huesca,36,1983,22,10,1067,11.9,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.1,0.1,0.8,0.8,0.01,0.06,0.07,0.01,0.07,Matches
299,Adrián López\88a359d4,es ESP,FWMF,Osasuna,32,1988,17,5,481,5.3,1,1,1,0,0,0,0,0.19,0.19,0.37,0.19,0.37,1.3,1.3,0.8,2.1,0.24,0.15,0.39,0.24,0.39,Matches
300,Javi López\e9ada8cf,es ESP,DFMF,Alavés,18,2002,9,1,248,2.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.04,0.07,0.03,0.07,Matches
301,Roberto López\2a8c9f98,es ESP,MFFW,Real Sociedad,20,2000,17,4,505,5.6,3,0,3,0,0,0,0,0.53,0.00,0.53,0.53,0.53,1.0,1.0,1.7,2.7,0.17,0.30,0.47,0.17,0.47,Matches
302,Unai López\88050721,es ESP,MF,Athletic Club,24,1995,26,15,1424,15.8,3,0,3,0,0,7,0,0.19,0.00,0.19,0.19,0.19,1.2,1.2,1.2,2.4,0.08,0.08,0.15,0.08,0.15,Matches
303,Anthony Lozano\38699c72,hn HON,FWMF,Cádiz,27,1993,29,18,1523,16.9,3,1,3,0,0,5,0,0.18,0.06,0.24,0.18,0.24,5.4,5.4,1.0,6.3,0.32,0.06,0.37,0.32,0.37,Matches
304,Jeison Lucumí\8abefbcf,co COL,FWMF,Elche,25,1995,2,1,49,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
305,José Luis Gayà\b05e2dbd,es ESP,DF,Valencia,25,1995,33,32,2846,31.6,1,7,1,0,0,6,0,0.03,0.22,0.25,0.03,0.25,1.9,1.9,4.7,6.6,0.06,0.15,0.21,0.06,0.21,Matches
306,José Luis Morales\4a478107,es ESP,FWMF,Levante,33,1987,38,30,2439,27.1,13,3,13,0,1,3,0,0.48,0.11,0.59,0.48,0.59,8.3,7.5,3.6,11.1,0.31,0.13,0.44,0.28,0.41,Matches
307,Luisinho\a7f00c8c,pt POR,DF,Huesca,35,1985,5,2,179,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
308,Luismi\c2cfbfc9,es ESP,MFDF,Elche,28,1992,11,2,168,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
309,Darwin Machís\ed6ea4d9,ve VEN,FWMF,Granada,27,1993,32,21,2026,22.5,4,5,4,0,1,1,0,0.18,0.22,0.40,0.18,0.40,4.9,4.1,4.2,8.3,0.22,0.19,0.40,0.18,0.37,Matches
310,Pablo Maffeo\5db04597,es ESP,DF,Huesca,23,1997,25,25,1964,21.8,1,4,1,0,0,4,0,0.05,0.18,0.23,0.05,0.23,0.7,0.7,2.0,2.6,0.03,0.09,0.12,0.03,0.12,Matches
311,Abdallahi Mahmoud\ab99e4a0,mr MTN,MF,Alavés,20,2000,2,1,66,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
312,Nemanja Maksimović\00b28772,rs SRB,MF,Getafe,25,1995,35,34,2728,30.3,1,0,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,1.8,1.8,1.1,3.0,0.06,0.04,0.10,0.06,0.10,Matches
313,Filip Malbašić\04981123,rs SRB,FWMF,Cádiz,27,1992,28,8,860,9.6,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.6,0.6,0.0,0.6,0.06,0.00,0.06,0.06,0.06,Matches
314,Hugo Mallo\cb574619,es ESP,DF,Celta Vigo,29,1991,31,30,2602,28.9,3,1,3,0,0,8,0,0.10,0.03,0.14,0.10,0.14,1.5,1.5,2.3,3.8,0.05,0.08,0.13,0.05,0.13,Matches
315,Mickael Malsa\bbc19252,mq MTQ,MF,Levante,24,1995,35,25,2338,26.0,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,1.6,1.6,0.4,2.0,0.06,0.02,0.08,0.06,0.08,Matches
316,Aïssa Mandi\fbd6378b,dz ALG,DF,Betis,28,1991,28,27,2392,26.6,3,1,3,0,0,6,2,0.11,0.04,0.15,0.11,0.15,2.3,2.3,0.1,2.4,0.09,0.01,0.09,0.09,0.09,Matches
317,Eliaquim Mangala\f520049f,fr FRA,DF,Valencia,29,1991,7,4,321,3.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.15,0.00,0.15,0.15,0.15,Matches
318,Maranhão\ae86d473,br BRA,FW,Valladolid,23,1996,23,11,1177,13.1,4,1,4,0,0,3,0,0.31,0.08,0.38,0.31,0.38,3.8,3.8,0.6,4.4,0.29,0.05,0.33,0.29,0.33,Matches
319,Marcelo\603116a7,br BRA,DF,Real Madrid,32,1988,16,12,1050,11.7,0,2,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,0.4,0.4,1.2,1.6,0.04,0.10,0.13,0.04,0.13,Matches
320,Iván Marcone\b14f755d,ar ARG,MF,Elche,30,1990,33,30,2645,29.4,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.00,0.02,0.02,0.00,0.02,Matches
321,Óscar de Marcos\9f323c71,es ESP,DFMF,Athletic Club,31,1989,25,17,1520,16.9,1,2,1,0,0,2,0,0.06,0.12,0.18,0.06,0.18,1.3,1.3,1.8,3.1,0.08,0.11,0.19,0.08,0.19,Matches
322,José Mari\6f4c734d,es ESP,MF,Cádiz,32,1987,22,18,1451,16.1,1,0,0,1,1,5,0,0.06,0.00,0.06,0.00,0.00,1.2,0.4,0.4,0.8,0.07,0.03,0.10,0.02,0.05,Matches
323,José María Giménez\f0da930c,uy URU,DF,Atlético Madrid,25,1995,21,20,1765,19.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.2,1.1,0.05,0.01,0.06,0.05,0.06,Matches
324,Mariano\5c4dc0ff,do DOM,FW,Real Madrid,26,1993,16,5,513,5.7,1,0,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18,1.5,1.5,0.2,1.6,0.26,0.03,0.28,0.26,0.28,Matches
325,Adrián Marín\b7f2edff,es ESP,DFFW,Granada,23,1997,9,3,269,3.0,0,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,0.1,0.1,0.1,0.2,0.03,0.04,0.07,0.03,0.07,Matches
326,Adrián Marín\b7f2edff,es ESP,DFMF,Alavés,23,1997,5,1,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.07,0.52,0.58,0.07,0.58,Matches
327,Roger Martí\0ae4e09a,es ESP,FW,Levante,29,1991,33,26,2198,24.4,12,4,10,2,4,4,0,0.49,0.16,0.66,0.41,0.57,9.3,6.3,2.5,8.8,0.38,0.10,0.48,0.26,0.36,Matches
328,Aarón Martín\2f3e911a,es ESP,DF,Celta Vigo,23,1997,19,17,1540,17.1,0,3,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.2,0.2,1.2,1.4,0.01,0.07,0.08,0.01,0.08,Matches
329,Álex Martín\80153344,es ESP,DF,Cádiz,22,1998,2,1,96,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
330,Iñigo Martínez\3fc45c73,es ESP,DF,Athletic Club,29,1991,28,28,2519,28.0,1,0,1,0,0,9,1,0.04,0.00,0.04,0.04,0.04,1.3,1.3,0.6,2.0,0.05,0.02,0.07,0.05,0.07,Matches
