Player,"Salary"
Dominic Calvert-Lewin,"1,248,000"
Kevin Long,"1,200,000"
Mohammed Salisu,"1,200,000"
Kyle Walker-Peters,"1,200,000"
Japhet Tanganga,"1,200,000"
Saïd Benrahma,"1,200,000"
Goncalo Cardoso,"1,200,000"
Aaron Connolly,"1,196,000"
Florent Hadergjonaj,"1,196,000"
Eldin Jakupovic,"1,196,000"
Marc Navarro,"1,196,000"
Craig Cathcart,"1,195,000"
Callum Paterson,"1,170,000"
Max Aarons,"1,170,000"
Lukas Rupp,"1,170,000"
Aaron Ramsdale,"1,155,000"
Diego Llorente,"1,144,000"
Isaac Hayden,"1,144,000"
Romain Saiss,"1,144,000"
Onel Hernández,"1,140,000"
Ivan Toney,"1,092,000"
Daniel Amartey,"1,092,000"
Grady Diangana,"1,058,200"
Kyle Edwards,"1,058,200"
David Brooks,"1,040,000"
Emile Smith Rowe,"1,040,000"
Joe Willock ,"1,040,000"
Bryan Mbeumo,"1,040,000"
Christian Nørgaard,"1,040,000"
Mathias Jensen,"1,040,000"
Chris Lowe,"1,040,000"
Adam Forshaw,"1,040,000"
Danny Ward,"1,040,000"
Oleksandr Zinchenko,"1,040,000"
Scott McTominay,"1,040,000"
Timm Klose,"1,040,000"
Mario Vrancic,"1,040,000"
Oliver McBurnie,"1,040,000"
Michael Verrips,"1,040,000"
Jan Bednarek,"1,040,000"
Kiko Femenia,"1,040,000"
Jerome Sinclair,"1,040,000"
Matt Phillips,"1,040,000"
Joe Bennett,"1,015,000"
Neil Etheridge,"1,015,000"
Christoph Zimmermann,"1,010,000"
Diego Rico,"1,001,000"
Robin Olsen,"1,000,000"
Wesley Fofana,"1,000,000"
Ben Johnson,"1,000,000"
Pablo Hernández,"988,000"
Greg Cunningham,"987,000"
Jack Harrison ,"975,000"
Darnell Furlong,"962,000"
Nathaniel Mendez-Laing,"961,667"
Matthew Longstaff,"960,000"
Josh Dasilva,"936,000"
Sam McQueen,"936,000"
Adalberto Peñaranda,"936,000"
Marco Stiepermann,"910,000"
Jayson Molumby,"900,000"
Brandon Pierrick,"900,000"
Will Smallbone,"900,000"
Juninho Bacuna,"884,000"
Joe Gelhardt,"858,000"
Illan Meslier,"858,000"
Jayden Bogle,"858,000"
Semi Ajayi,"858,000"
Conor Coady,"858,000"
Philip Heise,"842,000"
Jason Steele,"833,333"
Dan Burn,"832,000"
Cameron Carter-Vickers ,"832,000"
Max Sanders,"800,000"
Caoimhin Kelleher,"800,000"
Philip Billing,"780,000"
Sergi Canós,"780,000"
Ethan Pinnock,"780,000"
Steven Alzate,"780,000"
Jo Gorenc-Stankovic,"780,000"
Ezgjan Alioski,"780,000"
Louis Thompson,"780,000"
Tom Trybull,"780,000"
Oliver Norwood,"780,000"
Ken Sema,"780,000"
Max Kilman,"780,000"
Eric Garcia,"750,000"
Stipe Perica,"702,000"
Kyle Bartley,"702,000"
Lee Peltier,"702,000"
Jack Rodwell,"686,400"
Alexander Tettey,"676,000"
Nathan Tella,"650,000"
Joao Pedro,"650,000"
Romaine Sawyers,"650,000"
Shandon Baptiste,"624,000"
Rico Henry,"624,000"
Michal Karbownik,"624,000"
Ben Hamer,"624,000"
Ben Woodburn,"624,000"
Phil Foden,"624,000"
Mortiz Leitner,"624,000"
Billy Sharp,"624,000"
Chris Mepham,"607,000"
Stephen Henderson,"600,000"
Luke Thomas,"600,000"
Mark Gillespie,"600,000"
Michael Obafemi,"600,000"
Jack Robinson,"572,000"
Charly Musonda,"550,000"
Gary Madine,"546,000"
Vitaly Janelt,"520,000"
Jakub Moder,"520,000"
Robert Sánchez,"520,000"
Joao Virginia,"520,000"
Harvey Barnes,"520,000"
Patrick Roberts ,"520,000"
Jacob Lungi Sörensen,"520,000"
Jack O'Connell,"520,000"
Josh Tymon,"520,000"
Bailey Peacock-Farrell,"500,000"
Joe Rodon,"500,000"
Conor Gallagher,"500,000"
Francisco Sierralta,"494,000"
Chris Basham,"487,000"
Ian Poveda,"457,600"
Oliver Burke,"457,600"
Ouasim Bouy,"450,850"
Michael McGovern,"442,000"
James Justin,"429,000"
Neil Taylor,"416,000"
Kortney Hause,"416,000"
Ezri Konsa,"416,000"
Jed Steer,"416,000"
Christian Walton,"416,000"
Luke Ayling,"416,000"
Stuart Dallas,"416,000"
Emiliano Buendía,"416,000"
Ben Marshall,"416,000"
John Fleck,"416,000"
Domingos Quina,"416,000"
Vicente Guaita,"404,000"
Mateusz Klich,"403,000"
Kamil Grabara,"400,000"
Jacob Ramsey,"390,000"
Ethan Ampadu ,"390,000"
Hamza Choudhury,"390,000"
Curtis Jones,"390,000"
Kieran Dowell,"390,000"
John Egan,"390,000"
Pascal Struijk,"371,800"
Ben White,"350,000"
Jimmy Dunne,"350,000"
Mads Roerslev,"346,667"
Liam Cooper,"338,000"
Przemyslaw Placheta,"320,000"
Will Norris,"300,000"
John Ruddy,"300,000"
Charlie Goode,"292,500"
Wes Foderingham,"286,000"
Marcus Forss,"260,000"
Tariqe Fosu,"260,000"
Luka Racic,"260,000"
Dwight McNeil,"260,000"
Jake Clarke-Salter ,"260,000"
Adam Idah,"260,000"
Simon Moore,"260,000"
Julien Ngoy,"260,000"
Thibaud Verlinden,"260,000"
Ben Wilmot,"260,000"
Kalvin Phillips,"234,000"
Max Lowe,"228,800"
Mads Bech Sørensen,"208,000"
George Baldock,"208,000"
John Lundstrom,"208,000"
Ben Osborn,"208,000"
Enda Stevens,"208,000"
Alfie Whiteman,"200,000"
Dominic Thompson,"182,000"
Moises Caicedo,"182,000"
Tyler Roberts,"182,000"
Jan Žambůrek,"161,200"
Kean Bryan,"156,000"
Daniel Bachmann,"156,000"
Declan Rice,"156,000"
Jeremy Ngakia,"130,000"
Bali Mumba,"120,000"
Yan Valery ,"104,000"
Jamie Shackleton,"78,000"
Morgan Gibbs-White,"78,000"
Sean Longstaff,"52,000"
Leif Davis,"31,000"
Bertrand Traoré,0
Jairo Riedewald,0
Jean-Philippe Mateta,0
Gaetano Berardi,0
Jonny Evans,0
Joel Matip,0
Odion Ighalo,0
Oriol Romeu,0
Stuart Armstrong,0
Toby Alderweireld,0
Jose Moutinho,0
