,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
331,Jayson Molumby\c908a1bc,ie IRL,MF,Brighton,20,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
332,Wesley Moraes\bfae110f,br BRA,MFFW,Aston Villa,23,1996,0.2,1,5.00,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
333,Wes Morgan\80c31c97,jm JAM,DF,Leicester City,36,1984,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
334,Mason Mount\9674002f,eng ENG,MFFW,Chelsea,21,1999,32.1,163,5.08,89,47,10,7,8,2,14,0.44,5,5,1,2,1,0,Matches
335,Lucas Moura\2b622f01,br BRA,FWMF,Tottenham,27,1992,15.7,36,2.30,27,2,1,1,3,2,8,0.51,6,0,0,1,0,1,Matches
336,Lys Mousset\d9cfca3d,fr FRA,FWMF,Sheffield Utd,24,1996,3.3,4,1.22,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
337,João Moutinho\f5a00fa4,pt POR,MF,Wolves,33,1986,28.1,91,3.24,55,29,0,2,2,3,4,0.14,1,2,0,0,1,0,Matches
338,Joel Mumbongo\f8e588df,se SWE,FW,Burnley,21,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
339,Jacob Murphy\de112b84,eng ENG,DFMF,Newcastle Utd,25,1995,18.1,37,2.05,23,4,4,2,2,2,4,0.22,4,0,0,0,0,0,Matches
340,Shkodran Mustafi\3f2d59fe,de GER,DF,Arsenal,28,1992,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
341,Marvelous Nakamba\de5b5570,zw ZIM,MF,Aston Villa,26,1994,8.3,4,0.48,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
342,Iliman Ndiaye\5ed97752,fr FRA,MF,Sheffield Utd,20,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
343,Wilfred Ndidi\6b47c5db,ng NGA,MFDF,Leicester City,23,1996,24.2,33,1.36,27,0,0,0,1,5,8,0.33,7,0,0,0,0,1,Matches
344,Tanguy Ndombele\5cdddffa,fr FRA,MF,Tottenham,23,1996,23.2,57,2.45,42,0,4,2,7,2,8,0.34,7,0,0,1,0,0,Matches
345,Reiss Nelson\c5bdb6e3,eng ENG,FW,Arsenal,20,1999,0.8,1,1.27,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
346,Pedro Neto\7ba2eaa9,pt POR,FWMF,Wolves,20,2000,28.3,111,3.92,59,24,13,6,8,1,9,0.32,4,2,1,2,0,0,Matches
347,Rúben Neves\44bfb6c5,pt POR,MF,Wolves,23,1997,29.7,62,2.09,50,3,3,2,1,3,2,0.07,2,0,0,0,0,0,Matches
348,Eddie Nketiah\a53649b7,eng ENG,FW,Arsenal,21,1999,4.7,8,1.70,6,0,0,0,1,1,1,0.21,1,0,0,0,0,0,Matches
349,Niels Nkounkou\f5b281e7,fr FRA,DFFW,Everton,19,2000,0.9,1,1.11,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
350,Dan Nlundulu\30040f5d,eng ENG,FW,Southampton,21,1999,1.2,1,0.81,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
351,Mark Noble\ff527768,eng ENG,MF,West Ham,33,1987,7.9,7,0.88,4,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
352,Will Norris\c73ada83,eng ENG,GK,Burnley,26,1993,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
353,Oliver Norwood\43439614,nir NIR,MF,Sheffield Utd,29,1991,24.7,45,1.82,31,14,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
354,Jack O'Connell\312626c1,eng ENG,DF,Sheffield Utd,26,1994,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
355,Dara O'Shea\1d042188,ie IRL,DF,West Brom,21,1999,23.4,17,0.73,14,2,0,0,1,0,2,0.09,1,1,0,0,0,0,Matches
356,Michael Obafemi\caa1a7f0,ie IRL,FW,Southampton,20,2000,0.7,1,1.48,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
357,Denis Odoi\f7750aa0,be BEL,DF,Fulham,32,1988,3.0,5,1.67,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
358,Angelo Ogbonna\74b2cd7e,it ITA,DF,West Ham,32,1988,27.7,6,0.22,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
359,Robin Olsen\e7ee38c3,se SWE,GK,Everton,30,1990,7.0,1,0.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
360,Josh Onomah\6612cd8c,eng ENG,MF,Fulham,23,1997,4.2,6,1.44,5,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
361,Divock Origi\43a166b4,be BEL,FW,Liverpool,25,1995,2.1,3,1.45,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
362,Ben Osborn\79bc4c45,eng ENG,MFDF,Sheffield Utd,25,1994,17.8,29,1.63,25,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
363,Owen Otasowie\6956ff08,us USA,MFFW,Wolves,19,2001,2.1,7,3.37,4,0,0,1,2,0,1,0.48,1,0,0,0,0,0,Matches
364,Alex Oxlade-Chamberlain\38c7feef,eng ENG,FWMF,Liverpool,26,1993,2.8,5,1.78,5,0,0,0,0,0,2,0.71,2,0,0,0,0,0,Matches
365,Emerson Palmieri\e0bc6fdc,it ITA,DF,Chelsea,25,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
366,Thomas Partey\529f49ab,gh GHA,MF,Arsenal,27,1993,17.0,29,1.70,28,0,1,0,0,0,4,0.23,3,0,1,0,0,0,Matches
367,Rui Patrício\79b0d6a0,pt POR,GK,Wolves,32,1988,37.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
368,Bailey Peacock-Farrell\4879f8cb,nir NIR,GK,Burnley,23,1996,4.0,1,0.25,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
369,Lee Peltier\af341b88,eng ENG,DF,West Brom,33,1986,2.5,2,0.79,2,0,0,0,0,0,1,0.39,1,0,0,0,0,0,Matches
370,Nicolas Pépé\57e3f0c7,ci CIV,FW,Arsenal,25,1995,18.0,37,2.06,24,3,4,3,3,0,9,0.50,4,0,2,2,1,0,Matches
371,Matheus Pereira\b04ee927,pt POR,MFFW,West Brom,24,1996,28.6,103,3.60,65,25,5,1,6,1,12,0.42,8,1,0,0,2,1,Matches
372,Ricardo Pereira\75a72a99,pt POR,DF,Leicester City,26,1993,10.7,19,1.78,18,0,0,0,0,1,2,0.19,1,0,0,0,0,1,Matches
373,Ayoze Pérez\819aa8e7,es ESP,MFFW,Leicester City,27,1993,14.8,48,3.25,32,2,5,5,3,1,6,0.41,5,0,1,0,0,0,Matches
374,Kalvin Phillips\4f565d77,eng ENG,MF,Leeds United,24,1995,27.0,58,2.15,33,19,0,1,2,3,1,0.04,1,0,0,0,0,0,Matches
375,Matt Phillips\7bb5f40e,sct SCO,MFFW,West Brom,29,1991,20.3,44,2.17,32,8,4,0,0,0,2,0.10,2,0,0,0,0,0,Matches
376,Nathaniel Phillips\515ebe8d,eng ENG,DF,Liverpool,23,1997,16.2,11,0.68,10,0,0,1,0,0,1,0.06,0,0,0,1,0,0,Matches
377,Jaden Philogene Bidace\19f4d211,eng ENG,FW,Aston Villa,18,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
378,Jordan Pickford\4806ec67,eng ENG,GK,Everton,26,1994,30.5,7,0.23,4,3,0,0,0,0,2,0.07,2,0,0,0,0,0,Matches
379,Erik Pieters\1ef37668,nl NED,DFMF,Burnley,31,1988,14.1,15,1.07,11,1,0,1,2,0,3,0.21,1,0,0,1,1,0,Matches
380,Daniel Podence\7fcc71d8,pt POR,MFFW,Wolves,24,1995,18.5,61,3.31,42,1,10,1,6,1,7,0.38,3,0,4,0,0,0,Matches
381,Paul Pogba\867239d3,fr FRA,MFFW,Manchester Utd,27,1993,21.1,68,3.23,48,1,4,5,7,3,7,0.33,2,0,2,1,2,0,Matches
382,Nick Pope\4b40d9ca,eng ENG,GK,Burnley,28,1992,32.0,8,0.25,5,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
383,Dennis Praet\86695068,be BEL,MFFW,Leicester City,26,1994,8.0,13,1.63,12,0,0,0,0,1,2,0.25,2,0,0,0,0,0,Matches
384,Davy Pröpper\fdd85f94,nl NED,MF,Brighton,28,1991,2.4,1,0.42,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
385,Christian Pulisic\1bf33a9a,us USA,FWMF,Chelsea,21,1998,19.3,67,3.47,52,1,5,2,5,2,8,0.41,7,0,0,1,0,0,Matches
386,Aaron Ramsdale\466fb2c5,eng ENG,GK,Sheffield Utd,22,1998,38.0,8,0.21,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
387,Jacob Ramsey\1544f145,eng ENG,MFFW,Aston Villa,19,2001,7.0,14,2.01,13,0,0,1,0,0,1,0.14,1,0,0,0,0,0,Matches
388,Kayne Ramsey\dc31b84c,eng ENG,DF,Southampton,19,2000,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
389,Darren Randolph\6385ebfb,ie IRL,GK,West Ham,33,1987,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
390,Marcus Rashford\a1d5bd30,eng ENG,FW,Manchester Utd,22,1997,32.4,105,3.24,75,0,16,5,9,0,18,0.55,15,0,2,0,1,0,Matches
391,Tim Ream\28b40c9c,us USA,DF,Fulham,32,1987,7.0,1,0.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
392,Nathan Redmond\ab651565,eng ENG,MFFW,Southampton,26,1994,19.3,58,3.00,39,0,10,3,4,2,4,0.21,4,0,0,0,0,0,Matches
393,Harrison Reed\803ae100,eng ENG,MF,Fulham,25,1995,25.0,40,1.60,32,6,0,2,0,0,3,0.12,2,0,0,1,0,0,Matches
394,Sergio Reguilón\3353737a,es ESP,DF,Tottenham,23,1996,24.9,41,1.64,28,1,2,5,5,0,8,0.32,7,0,0,0,1,0,Matches
395,Bobby Reid\0f7533cd,jm JAM,MFDF,Fulham,27,1993,26.4,33,1.25,24,0,2,2,3,2,5,0.19,4,0,0,0,1,0,Matches
396,Declan Rice\1c7012b8,eng ENG,MF,West Ham,21,1999,32.0,49,1.53,41,1,3,2,1,1,3,0.09,2,0,0,1,0,0,Matches
397,Lewis Richardson\4fa62ae4,eng ENG,FWMF,Burnley,17,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
398,Richarlison\fa031b34,br BRA,FW,Everton,23,1997,31.8,80,2.52,51,0,9,5,14,1,9,0.28,5,0,2,1,1,0,Matches
399,Jaïro Riedewald\7a1f2c08,nl NED,MF,Crystal Palace,23,1996,20.2,19,0.94,18,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
400,Matt Ritchie\71ef519e,sct SCO,DFMF,Newcastle Utd,30,1989,15.0,40,2.67,19,16,0,1,2,2,4,0.27,1,1,0,0,1,1,Matches
401,Tyler Roberts\6c17e046,wls WAL,MFFW,Leeds United,21,1999,14.9,36,2.42,28,0,3,1,4,0,3,0.20,3,0,0,0,0,0,Matches
402,Andrew Robertson\2e4f5f03,sct SCO,DF,Liverpool,26,1994,37.6,106,2.82,80,19,4,1,0,2,15,0.40,10,2,2,1,0,0,Matches
403,Antonee Robinson\289601e6,us USA,DF,Fulham,22,1997,24.0,53,2.21,46,3,1,0,2,1,2,0.08,2,0,0,0,0,0,Matches
404,Callum Robinson\e75750a3,ie IRL,FWMF,West Brom,25,1995,17.3,40,2.31,27,0,7,2,4,0,4,0.23,1,0,1,0,2,0,Matches
405,Jack Robinson\7399c7a8,eng ENG,DF,Sheffield Utd,26,1993,9.7,6,0.62,3,0,1,1,1,0,4,0.41,2,0,1,0,1,0,Matches
406,Hal Robson-Kanu\fb2dec57,wls WAL,FWMF,West Brom,31,1989,6.2,12,1.93,9,0,1,0,1,1,0,0.00,0,0,0,0,0,0,Matches
407,Marek Rodák\17acc2ed,sk SVK,GK,Fulham,23,1996,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
408,Joe Rodon\8d62d31a,wls WAL,DF,Tottenham,22,1997,8.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
409,Rodri\6434f10d,es ESP,MF,Manchester City,24,1996,30.5,73,2.39,58,1,6,3,1,4,8,0.26,6,0,1,0,0,1,Matches
410,Rodrigo\1fb1c435,es ESP,MFFW,Leeds United,29,1991,14.3,64,4.47,49,0,5,6,2,2,11,0.77,5,0,2,3,1,0,Matches
411,James Rodríguez\715bf047,co COL,FWMF,Everton,29,1991,19.6,72,3.67,44,16,4,0,6,2,13,0.66,8,4,0,0,1,0,Matches
412,Jay Rodriguez\4ab53cdb,eng ENG,FWMF,Burnley,31,1989,14.1,23,1.64,14,0,4,3,2,0,4,0.28,3,0,1,0,0,0,Matches
413,Oriol Romeu\4b511457,es ESP,MF,Southampton,28,1991,19.6,35,1.79,30,0,0,0,2,3,4,0.20,4,0,0,0,0,0,Matches
414,John Ruddy\da8b19e2,eng ENG,GK,Wolves,33,1986,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
415,Antonio Rüdiger\18b896d6,de GER,DF,Chelsea,27,1993,19.0,14,0.74,13,1,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
416,Mathew Ryan\4535e4bb,au AUS,GK,Brighton,28,1992,11.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
417,Mathew Ryan\4535e4bb,au AUS,GK,Arsenal,28,1992,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
418,Allan Saint-Maximin\2b16cb1a,fr FRA,FWMF,Newcastle Utd,23,1997,17.3,61,3.52,41,1,12,1,5,1,10,0.58,8,0,1,1,0,0,Matches
419,Romain Saïss\9fbbcf39,ma MAR,DF,Wolves,30,1990,26.7,16,0.60,13,1,1,1,0,0,1,0.04,1,0,0,0,0,0,Matches
420,Bukayo Saka\bc7dc64d,eng ENG,FWDF,Arsenal,18,2001,28.4,98,3.45,63,11,8,7,9,0,12,0.42,9,0,1,0,2,0,Matches
421,Mamadou Sakho\87935cf3,fr FRA,DF,Crystal Palace,30,1990,3.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
422,Mohamed Salah\e342ad68,eg EGY,FW,Liverpool,28,1992,34.2,117,3.42,87,1,6,12,7,4,14,0.41,10,0,0,2,2,0,Matches
423,Mohammed Salisu\0b33f6ad,gh GHA,DF,Southampton,21,1999,9.4,5,0.53,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
424,Davinson Sánchez\da7b447d,co COL,DF,Tottenham,24,1996,16.5,5,0.30,3,1,0,1,0,0,1,0.06,1,0,0,0,0,0,Matches
425,Robert Sánchez\6a713852,es ESP,GK,Brighton,22,1997,27.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
426,Morgan Sanson\6e7f1353,fr FRA,MF,Aston Villa,25,1994,3.3,4,1.22,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
427,Romaine Sawyers\77bb1522,kn SKN,MF,West Brom,28,1991,16.5,13,0.79,12,0,0,0,1,0,2,0.12,2,0,0,0,0,0,Matches
428,Dane Scarlett\21945a9e,eng ENG,FW,Tottenham,16,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
429,Fabian Schär\c8aa95da,ch SUI,DF,Newcastle Utd,28,1991,13.8,9,0.65,7,0,0,0,1,1,1,0.07,1,0,0,0,0,0,Matches
430,Jeffrey Schlupp\3312f911,gh GHA,MF,Crystal Palace,27,1992,15.9,34,2.14,26,0,2,1,5,0,6,0.38,4,0,0,1,1,0,Matches
431,Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,33,1986,38.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
432,Nélson Semedo\d04b94db,pt POR,DF,Wolves,26,1993,33.1,58,1.75,45,5,2,3,1,2,5,0.15,4,0,0,1,0,0,Matches
433,Femi Seriki\e4e0deaa,eng ENG,DF,Sheffield Utd,18,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
434,Jamie Shackleton\8d03ca5a,eng ENG,MFDF,Leeds United,20,1999,5.1,6,1.17,6,0,0,0,0,0,1,0.20,1,0,0,0,0,0,Matches
435,Xherdan Shaqiri\6421ec64,ch SUI,MFFW,Liverpool,28,1991,6.2,32,5.18,30,2,0,0,0,0,3,0.49,3,0,0,0,0,0,Matches
436,Billy Sharp\e8c9f4e9,eng ENG,FW,Sheffield Utd,34,1986,8.2,5,0.61,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
437,Luke Shaw\9c94165b,eng ENG,DF,Manchester Utd,25,1995,29.5,111,3.76,70,35,1,1,4,0,11,0.37,6,3,0,0,2,0,Matches
438,Jonjo Shelvey\3727dd3c,eng ENG,MF,Newcastle Utd,28,1992,29.1,66,2.27,37,25,0,2,1,1,8,0.28,5,3,0,0,0,0,Matches
439,Shola Shoretire\00f0482f,eng ENG,FW,Manchester Utd,16,2004,0.1,1,8.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
440,Gylfi Sigurðsson\76dd1480,is ISL,MF,Everton,30,1989,25.0,67,2.68,37,23,0,6,1,0,6,0.24,3,2,0,1,0,0,Matches
441,Bernardo Silva\3eb22ec9,pt POR,MFFW,Manchester City,25,1994,22.9,80,3.49,64,2,5,4,3,2,10,0.44,9,0,0,1,0,0,Matches
442,Fábio Silva\e7aa9d7c,pt POR,FW,Wolves,18,2002,15.2,31,2.04,17,0,3,6,4,1,4,0.26,3,0,0,0,1,0,Matches
443,Thiago Silva\86e7deaf,br BRA,DF,Chelsea,35,1984,21.5,18,0.84,17,0,0,1,0,0,1,0.05,1,0,0,0,0,0,Matches
444,Moussa Sissoko\2acd49b9,fr FRA,MF,Tottenham,30,1989,17.6,17,0.97,16,0,0,0,1,0,1,0.06,1,0,0,0,0,0,Matches
445,Islam Slimani\ffec9769,dz ALG,FW,Leicester City,32,1988,0.2,1,4.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
446,William Smallbone\5e105217,ie IRL,MF,Southampton,20,2000,1.9,3,1.57,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
447,Emile Smith Rowe\17695062,eng ENG,MFFW,Arsenal,20,2000,16.0,43,2.69,35,0,2,2,3,1,7,0.44,6,0,0,1,0,0,Matches
448,Robert Snodgrass\9f4647e9,sct SCO,FWDF,West Ham,32,1987,0.1,1,18.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
449,Robert Snodgrass\9f4647e9,sct SCO,MFFW,West Brom,32,1987,5.8,6,1.03,6,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
450,Cédric Soares\839c14e1,pt POR,DF,Arsenal,28,1991,8.3,14,1.69,9,2,2,0,0,1,3,0.36,2,0,0,0,0,1,Matches
451,Tomáš Souček\6613c819,cz CZE,MF,West Ham,25,1995,38.0,45,1.18,31,2,1,7,4,0,5,0.13,3,0,0,2,0,0,Matches
452,Çağlar Söyüncü\21166ff4,tr TUR,DF,Leicester City,24,1996,20.2,10,0.49,6,1,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
453,Zack Steffen\42130443,us USA,GK,Manchester City,25,1995,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
454,Dale Stephens\653ee42d,eng ENG,MF,Burnley,31,1989,2.9,2,0.69,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
455,Jack Stephens\6adbc307,eng ENG,DF,Southampton,26,1994,17.1,18,1.05,17,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
456,Raheem Sterling\b400bde0,eng ENG,FW,Manchester City,25,1994,28.2,100,3.55,68,0,14,8,10,0,15,0.53,9,0,3,2,1,0,Matches
457,Enda Stevens\17d4507a,ie IRL,DF,Sheffield Utd,30,1990,30.0,32,1.07,30,0,1,0,1,0,3,0.10,2,0,0,0,1,0,Matches
458,John Stones\5eecec3d,eng ENG,DF,Manchester City,26,1994,21.5,14,0.65,12,0,0,0,2,0,1,0.05,1,0,0,0,0,0,Matches
459,Pascal Struijk\f4d296e4,nl NED,DFMF,Leeds United,20,1999,23.1,12,0.52,11,0,0,1,0,0,2,0.09,2,0,0,0,0,0,Matches
460,Japhet Tanganga\e9971f2d,eng ENG,DF,Tottenham,21,1999,5.4,1,0.18,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
461,Matt Targett\e514ab62,eng ENG,DF,Aston Villa,24,1995,37.8,80,2.12,61,15,0,0,3,1,7,0.19,4,2,0,0,1,0,Matches
462,James Tarkowski\15ea812b,eng ENG,DF,Burnley,27,1992,36.0,25,0.69,16,4,0,2,2,1,0,0.00,0,0,0,0,0,0,Matches
463,Percy Tau\4d0eb7d2,za RSA,FWMF,Brighton,26,1994,1.1,5,4.37,4,0,1,0,0,0,1,0.87,1,0,0,0,0,0,Matches
464,Sidnei Tavares\3add8ed8,pt POR,MF,Leicester City,18,2001,0.9,1,1.06,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
465,Charlie Taylor\cc2d7ad5,eng ENG,DF,Burnley,26,1993,27.0,29,1.08,23,1,0,1,4,0,3,0.11,2,0,0,0,1,0,Matches
466,Neil Taylor\c2f9d19f,wls WAL,DF,Aston Villa,31,1989,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
467,Allan Tchaptchet\ab7d7882,fr FRA,DF,Southampton,18,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
468,Nathan Tella\f1e94cd6,eng ENG,FWMF,Southampton,21,1999,8.3,19,2.30,10,0,3,0,6,0,2,0.24,1,0,0,0,1,0,Matches
469,Alex Telles\e73c9bb2,br BRA,DF,Manchester Utd,27,1992,7.7,21,2.74,9,9,0,2,1,0,3,0.39,2,1,0,0,0,0,Matches
470,Kenny Tete\77d7c96f,nl NED,DF,Fulham,24,1995,16.5,30,1.82,29,0,0,0,1,0,2,0.12,2,0,0,0,0,0,Matches
471,William Thomas Fish\b2ee9d2c,eng ENG,DF,Manchester Utd,17,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
472,Luke Thomas\fc027d02,eng ENG,DF,Leicester City,19,2001,10.8,14,1.30,11,0,0,1,1,1,3,0.28,3,0,0,0,0,0,Matches
473,Youri Tielemans\56f7a928,be BEL,MF,Leicester City,23,1997,37.3,109,2.92,83,12,2,4,4,4,16,0.43,14,0,0,0,1,1,Matches
474,Kieran Tierney\fce2302c,sct SCO,DF,Arsenal,23,1997,25.5,58,2.27,46,2,5,1,4,0,7,0.27,3,0,2,0,2,0,Matches
475,James Tomkins\e7ca0439,eng ENG,DF,Crystal Palace,31,1989,6.1,3,0.49,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
476,Fikayo Tomori\7edfbb8a,eng ENG,DF,Chelsea,22,1997,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
477,Ferrán Torres\9e1035f8,es ESP,FWMF,Manchester City,20,2000,14.5,40,2.76,25,2,6,1,5,1,6,0.41,3,0,1,0,2,0,Matches
478,Cenk Tosun\9a104dee,tr TUR,FW,Everton,29,1991,0.5,2,3.75,2,0,0,0,0,0,1,1.87,1,0,0,0,0,0,Matches
479,Andros Townsend\b28bbd58,eng ENG,MFFW,Crystal Palace,29,1991,25.1,66,2.63,36,17,7,0,3,3,7,0.28,5,2,0,0,0,0,Matches
480,Conor Townsend\4dc4f138,eng ENG,DF,West Brom,27,1993,24.8,39,1.57,31,3,0,3,1,1,4,0.16,4,0,0,0,0,0,Matches
481,Adama Traoré\9a28eba4,es ESP,FW,Wolves,24,1996,29.4,113,3.84,74,0,21,3,13,2,6,0.20,3,0,1,1,1,0,Matches
482,Bertrand Traoré\c47541e0,bf BFA,FW,Aston Villa,24,1995,25.7,78,3.03,36,10,16,6,9,1,9,0.35,6,1,0,0,1,1,Matches
483,Trézéguet\3ae14ed1,eg EGY,FW,Aston Villa,25,1994,13.0,32,2.47,21,0,3,4,4,0,2,0.15,2,0,0,0,0,0,Matches
484,Leandro Trossard\38ceb24a,be BEL,FWMF,Brighton,25,1994,29.0,100,3.45,73,9,5,6,4,3,11,0.38,7,1,1,1,0,1,Matches
485,Kostas Tsimikas\f315ca93,gr GRE,DFFW,Liverpool,24,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
486,Axel Tuanzebe\2baec6ce,eng ENG,DF,Manchester Utd,22,1997,4.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
487,Cengiz Ünder\1880614f,tr TUR,MFFW,Leicester City,23,1997,3.1,13,4.16,10,0,2,1,0,0,2,0.64,2,0,0,0,0,0,Matches
488,Yan Valery\531a4aa8,fr FRA,DFMF,Southampton,21,1999,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
489,Jamie Vardy\45963054,eng ENG,FW,Leicester City,33,1987,31.6,64,2.03,37,0,12,8,6,1,21,0.67,9,0,3,4,5,0,Matches
490,Joël Veltman\dad4b285,nl NED,DF,Brighton,28,1992,25.3,41,1.62,31,5,0,2,1,2,1,0.04,1,0,0,0,0,0,Matches
491,Jannik Vestergaard\1900032e,dk DEN,DF,Southampton,27,1992,28.6,20,0.70,17,0,0,2,1,0,4,0.14,2,0,0,1,1,0,Matches
492,Rúben Vinagre\b937e490,pt POR,DF,Wolves,21,1999,1.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
493,Carlos Vinícius\8b529245,br BRA,FW,Tottenham,25,1995,3.4,4,1.17,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
494,João Virgínia\728e9b2e,pt POR,GK,Everton,20,1999,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
495,Vitinha\3b029691,pt POR,MF,Wolves,20,2000,5.8,21,3.63,17,2,1,1,0,0,1,0.17,1,0,0,0,0,0,Matches
496,Jake Vokins\d484c261,eng ENG,DF,Southampton,20,2000,0.7,3,4.09,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
497,Matěj Vydra\0d4ceb32,cz CZE,FW,Burnley,28,1992,15.2,37,2.43,20,0,11,3,2,1,6,0.39,3,0,2,0,0,1,Matches
498,Theo Walcott\1ecb65be,eng ENG,MFFW,Southampton,31,1989,18.0,28,1.56,22,0,2,2,2,0,4,0.22,2,0,0,1,1,0,Matches
